Receipt.No,Employee.No,Amount
6545,80,$279.95 
6546,55,$29.09 
6547,89,$51.43 
6548,89,$447.87 
6549,15,$715.57 
6550,3,$237.13 
6551,88,$494.47 
6552,8,$993.88 
6553,63,$94.51 
6554,65,$444.31 
6555,25,$991.10 
6556,30,$906.94 
6557,33,$484.67
6558,38,$547.87 
6559,32,$1.12 
6560,19,$159.77 
6561,16,$416.78 
6562,29,$151.19 
6563,37,$90.18 
6564,13,$798.39 
6565,75,$428.57 
6566,14,$772.91 
6567,56,$733.60 
6568,67,$950.74 
6569,73,$292.09 
6570,25,$718.77 
6571,51,$545.23 
6572,6,$7.66 
6573,76,$333.64 
6574,56,$938.19 
6575,32,$434.08 
6576,67,$197.09 
6577,23,$912.29 
6578,37,$74.48 
6579,4,$797.96 
6580,86,$555.67 
6581,14,$531.99 
6582,81,$767.42 
6583,36,$537.91 
6584,68,$920.04 
6585,39,$259.38 
6586,88,$923.53 
6587,27,$783.37 
6588,80,$108.62 
6589,8,$342.91 
6590,95,$110.56 
6591,71,$635.14 
6592,11,$852.59 
6593,49,$956.16 
6594,55,$981.17 
6595,5,$797.72 
6596,0,$315.44 
6597,44,$249.60 
6598,77,$846.01 
6599,1,$93.60 
6600,89,$736.89 
6601,70,$856.43 
6602,91,$362.77 
6603,21,$472.79 
6604,88,$54.65 
6605,86,$293.28 
6606,44,$348.18 
6607,12,$796.92 
6608,26,$518.50 
6609,4,$975.02 
6610,1,$802.59 
6611,19,$783.24 
6612,7,$64.39 
6613,56,$67.95 
6614,74,$794.48 
6615,18,$755.72 
6616,50,$45.48 
6617,15,$866.57 
6618,11,$102.06 
6619,6,$694.64 
6620,6,$954.59 
6621,41,$97.69 
6622,44,$434.58 
6623,77,$63.82 
6624,8,$464.93 
6625,33,$454.54
6626,91,$96.37 
6627,63,$709.82 
6628,59,$927.92 
6629,15,$769.94 
6630,7,$56.17 
6631,75,$568.30 
6632,96,$808.61 
6633,57,$103.32 
6634,54,$789.76 
6635,88,$105.24 
6636,13,$414.16 
6637,96,$258.50 
6638,70,$453.98 
6639,83,$994.37 
6640,30,$596.32 
6641,13,$210.24 
6642,12,$373.09 
6643,59,$619.71 
6644,9,$999.98 
6645,4,$738.68 
6646,25,$435.07 
6647,45,$880.16 
6648,6,$183.36 
6649,23,$741.85 
6650,30,$412.39 
6651,17,$567.17 
6652,1,$477.53 
6653,44,$917.78 
6654,2,$339.83 
6655,46,$18.95 
6656,86,$880.24 
6657,65,$962.71 
6658,79,$272.78 
6659,86,$280.09 
6660,89,$868.92 
6661,5,$431.33 
6662,73,$216.30 
6663,30,$299.92 
6664,18,$547.85 
6665,10,$584.79 
6666,43,$948.61 
6667,59,$829.81 
6668,44,$242.84 
6669,62,$260.93 
6670,93,$853.01 
6671,80,$684.63 
6672,96,$687.93 
6673,45,$161.97 
6674,37,$149.92 
6675,6,$209.85 
6676,75,$475.94 
6677,49,$864.93 
6678,99,$356.44 
6679,92,$550.30 
6680,37,$238.88 
6681,88,$170.84 
6682,15,$755.27 
6683,23,$281.17 
6684,77,$33.01 
6685,7,$826.05 
6686,45,$74.78 
6687,11,$396.71 
6688,41,$652.91 
6689,33,$484.86
6690,61,$627.05 
6691,38,$218.07 
6692,33,$478.30
6693,60,$561.83 
6694,3,$218.02 
6695,64,$949.60 
6696,81,$349.41 
6697,1,$202.41 
6698,60,$273.16 
6699,63,$159.66 
6700,55,$253.52 
6701,33,$466.62
6702,77,$650.36 
6703,45,$52.68 
6704,23,$738.95 
6705,91,$455.18 
6706,79,$651.08 
6707,98,$885.73 
6708,31,$919.74 
6709,76,$52.20 
6710,59,$46.55 
6711,46,$411.00 
6712,75,$537.85 
6713,11,$795.94 
6714,81,$797.92 
6715,87,$754.67 
6716,44,$317.41 
6717,1,$489.19 
6718,66,$286.50 
6719,58,$556.95 
6720,18,$826.73 
6721,1,$348.06 
6722,41,$483.68 
6723,67,$231.38 
6724,18,$739.97 
6725,5,$278.78 
6726,37,$331.41 
6727,8,$939.43 
6728,32,$933.83 
6729,64,$880.36 
6730,60,$526.59 
6731,0,$259.45 
6732,50,$648.65 
6733,29,$233.53 
6734,32,$326.84 
6735,19,$610.55 
6736,86,$671.04 
6737,12,$255.37 
6738,78,$935.74 
6739,4,$452.70 
6740,68,$859.26 
6741,83,$104.28 
6742,68,$221.14 
6743,38,$226.91 
6744,84,$234.45 
6745,60,$4.78 
6746,48,$918.84 
6747,14,$220.75 
6748,95,$10.90 
6749,74,$433.38 
6750,7,$632.74 
6751,63,$131.26 
6752,35,$936.31 
6753,57,$980.14 
6754,36,$790.76 
6755,83,$556.26 
6756,85,$110.48 
6757,53,$853.99 
6758,70,$653.40 
6759,56,$775.26 
6760,84,$394.13 
6761,16,$5.87 
6762,26,$51.66 
6763,76,$581.50 
6764,14,$572.28 
6765,12,$153.95 
6766,55,$488.47 
6767,81,$490.59 
6768,31,$726.32 
6769,60,$977.15 
6770,59,$402.37 
6771,77,$292.59 
6772,64,$598.64 
6773,42,$829.98 
6774,15,$210.23 
6775,50,$239.10 
6776,14,$36.31 
6777,18,$428.73 
6778,9,$188.67 
6779,33,$474.96
6780,51,$311.53 
6781,24,$715.06 
6782,96,$259.27 
6783,46,$498.69 
6784,26,$369.70 
6785,99,$386.98 
6786,43,$872.36 
6787,69,$956.25 
6788,3,$670.14 
6789,71,$328.04 
6790,63,$4.44 
6791,71,$836.68 
6792,34,$609.33 
6793,15,$87.61 
6794,75,$503.30 
6795,17,$858.25 
6796,74,$998.99 
6797,54,$964.05 
6798,61,$906.34 
6799,86,$285.58 
6800,80,$556.47 
6801,78,$257.16 
6802,5,$967.48 
6803,38,$605.94 
6804,77,$284.49 
6805,56,$440.53 
6806,87,$442.59 
6807,42,$37.58 
6808,21,$696.37 
6809,26,$164.67 
6810,89,$138.88 
6811,89,$866.74 
6812,94,$98.83 
6813,40,$112.54 
6814,88,$124.65 
6815,39,$100.04 
6816,40,$846.19 
6817,94,$530.73 
6818,41,$782.66 
6819,85,$464.90 
6820,32,$27.33 
6821,81,$505.33 
6822,70,$475.31 
6823,19,$317.06 
6824,43,$708.57 
6825,10,$615.66 
6826,28,$116.31 
6827,27,$590.26 
6828,66,$919.95 
6829,83,$133.24 
6830,45,$63.35 
6831,11,$501.52 
6832,53,$496.58 
6833,81,$393.72 
6834,50,$530.78 
6835,98,$568.14 
6836,34,$401.45 
6837,3,$805.51 
6838,70,$831.42 
6839,89,$429.59 
6840,90,$8.90 
6841,25,$561.28 
6842,88,$620.21 
6843,99,$252.70 
6844,18,$923.25 
6845,31,$73.60 
6846,27,$123.72 
6847,37,$655.00 
6848,57,$576.83 
6849,56,$220.56 
6850,7,$767.66 
6851,88,$175.31 
6852,21,$92.45 
6853,38,$913.16 
6854,86,$732.04 
6855,36,$764.29 
6856,42,$923.07 
6857,2,$908.09 
6858,14,$56.45 
6859,52,$709.61 
6860,6,$190.56 
6861,64,$717.18 
6862,32,$599.17 
6863,83,$716.45 
6864,57,$649.93 
6865,16,$250.42 
6866,62,$201.90 
6867,92,$402.33 
6868,15,$801.68 
6869,64,$678.85 
6870,59,$448.38 
6871,40,$347.96 
6872,96,$333.27 
6873,7,$317.01 
6874,12,$709.14 
6875,83,$546.14 
6876,59,$43.81 
6877,37,$274.56 
6878,27,$874.59 
6879,50,$933.13 
6880,94,$675.88 
6881,56,$774.11 
6882,20,$56.94 
6883,72,$414.28 
6884,98,$411.67 
6885,15,$739.16 
6886,78,$161.36 
6887,93,$809.71 
6888,78,$465.41 
6889,80,$516.76 
6890,15,$385.87 
6891,19,$606.11 
6892,85,$29.57 
6893,43,$448.61 
6894,37,$580.84 
6895,76,$284.31 
6896,2,$121.90 
6897,62,$465.43 
6898,84,$714.39 
6899,94,$429.26 
6900,15,$789.46 
6901,9,$7.93 
6902,33,$498.06
6903,51,$569.12 
6904,84,$143.45 
6905,79,$30.88 
6906,92,$935.71 
6907,78,$365.68 
6908,43,$616.31 
6909,32,$21.80 
6910,5,$503.59 
6911,33,$457.72
6912,99,$527.52 
6913,37,$571.67 
6914,86,$806.27 
6915,89,$173.26 
6916,97,$182.31 
6917,7,$63.02 
6918,2,$419.43 
6919,64,$695.58 
6920,65,$240.26 
6921,11,$323.53 
6922,7,$750.27 
6923,58,$271.52 
6924,7,$479.94 
6925,10,$826.55 
6926,53,$844.76 
6927,83,$561.48 
6928,3,$448.97 
6929,40,$858.00 
6930,31,$614.79 
6931,37,$333.04 
6932,74,$157.95 
6933,74,$795.44 
6934,91,$979.11 
6935,59,$289.48 
6936,35,$932.30 
6937,25,$757.60 
6938,32,$997.76 
6939,92,$415.15 
6940,12,$274.97 
6941,15,$549.00 
6942,82,$30.73 
6943,97,$311.57 
6944,44,$417.65 
6945,6,$672.39 
6946,99,$411.69 
6947,48,$629.25 
6948,35,$124.76 
6949,89,$361.88 
6950,17,$551.07 
6951,16,$498.29 
6952,46,$245.81 
6953,21,$947.79 
6954,68,$578.51 
6955,1,$894.33 
6956,78,$121.83 
6957,30,$221.18 
6958,95,$379.10 
6959,20,$127.50 
6960,3,$773.44 
6961,54,$152.04 
6962,10,$252.24 
6963,43,$941.23 
6964,55,$502.32 
6965,31,$385.13 
6966,77,$564.60 
6967,9,$736.44 
6968,99,$601.82 
6969,78,$17.81 
6970,70,$90.82 
6971,59,$520.14 
6972,42,$121.26 
6973,11,$45.67 
6974,6,$716.18 
6975,86,$56.20 
6976,83,$807.67 
6977,38,$123.46 
6978,48,$371.61 
6979,33,$475.84
6980,33,$463.94
6981,44,$600.95 
6982,84,$514.11 
6983,34,$277.37 
6984,2,$443.21 
6985,95,$632.19 
6986,94,$93.87 
6987,74,$367.16 
6988,77,$254.03 
6989,97,$110.51 
6990,50,$668.05 
6991,69,$288.58 
6992,23,$519.36 
6993,96,$868.79 
6994,56,$243.77 
6995,54,$28.73 
6996,79,$895.98 
6997,34,$786.21 
6998,41,$718.97 
6999,14,$390.72 
7000,14,$415.62 
7001,9,$559.01 
7002,90,$941.96 
7003,79,$464.05 
7004,45,$849.81 
7005,86,$765.09 
7006,99,$119.20 
7007,25,$344.97 
7008,10,$824.56 
7009,65,$351.46 
7010,22,$187.94 
7011,42,$772.92 
7012,44,$136.63 
7013,67,$610.96 
7014,6,$645.66 
7015,94,$481.43 
7016,0,$977.90 
7017,2,$655.60 
7018,45,$637.84 
7019,68,$800.43 
7020,25,$237.23 
7021,70,$174.44 
7022,50,$534.73 
7023,91,$335.51 
7024,57,$196.89 
7025,81,$707.93 
7026,2,$41.71 
7027,7,$220.97 
7028,82,$850.85 
7029,79,$643.61 
7030,94,$434.90 
7031,46,$905.26 
7032,92,$784.40 
7033,92,$293.87 
7034,58,$972.05 
7035,28,$780.84 
7036,76,$55.42 
7037,61,$226.30 
7038,77,$643.13 
7039,37,$226.76 
7040,66,$101.51 
7041,5,$956.83 
7042,45,$437.48 
7043,7,$889.85 
7044,38,$791.30 
7045,27,$856.45 
7046,25,$611.70 
7047,21,$76.50 
7048,27,$267.43 
7049,53,$485.80 
7050,39,$599.93 
7051,41,$357.23 
7052,93,$473.50 
7053,68,$324.52 
7054,13,$331.34 
7055,10,$541.30 
7056,83,$152.95 
7057,33,$479.98
7058,51,$191.28 
7059,82,$339.84 
7060,67,$263.26 
7061,17,$522.69 
7062,62,$969.66 
7063,2,$907.61 
7064,69,$805.03 
7065,48,$415.16 
7066,52,$519.65 
7067,36,$646.10 
7068,26,$56.71 
7069,6,$231.08 
7070,16,$412.55 
7071,72,$119.90 
7072,27,$392.91 
7073,15,$863.93 
7074,51,$775.00 
7075,41,$447.65 
7076,58,$132.19 
7077,87,$860.69 
7078,90,$381.96 
7079,60,$498.59 
7080,54,$428.99 
7081,7,$854.55 
7082,5,$790.97 
7083,33,$496.25
7084,88,$531.90 
7085,14,$430.93 
7086,17,$138.19 
7087,92,$859.84 
7088,87,$71.10 
7089,24,$421.73 
7090,68,$129.74 
7091,67,$945.53 
7092,59,$929.93 
7093,92,$298.19 
7094,33,$495.68
7095,16,$334.83 
7096,17,$212.79 
7097,80,$824.41 
7098,52,$104.24 
7099,28,$273.37 
7100,77,$584.71 
7101,44,$765.36 
7102,44,$366.32 
7103,61,$863.92 
7104,55,$820.71 
7105,61,$463.47 
7106,37,$872.82 
7107,54,$704.67 
7108,53,$13.15 
7109,48,$357.08 
7110,18,$744.79 
7111,53,$292.73 
7112,37,$935.43 
7113,89,$457.06 
7114,19,$119.94 
7115,98,$236.07 
7116,76,$12.07 
7117,75,$782.49 
7118,73,$718.14 
7119,35,$749.62 
7120,70,$808.22 
7121,84,$716.91 
7122,94,$28.01 
7123,87,$378.16 
7124,77,$373.87 
7125,18,$142.06 
7126,64,$354.13 
7127,45,$959.20 
7128,23,$172.43 
7129,45,$418.80 
7130,15,$296.29 
7131,24,$135.66 
7132,27,$528.09 
7133,34,$447.40 
7134,19,$62.24 
7135,60,$540.47 
7136,53,$190.51 
7137,72,$487.58 
7138,33,$469.81
7139,23,$236.38 
7140,99,$654.25 
7141,35,$515.89 
7142,52,$19.75 
7143,16,$842.29 
7144,45,$546.10 
7145,54,$573.53 
7146,98,$808.96 
7147,71,$857.17 
7148,72,$707.38 
7149,28,$999.45 
7150,14,$243.15 
7151,14,$590.27 
7152,74,$271.21 
7153,22,$44.05 
7154,16,$248.50 
7155,45,$960.49 
7156,55,$39.11 
7157,39,$76.98 
7158,31,$602.63 
7159,58,$765.57 
7160,57,$384.18 
7161,42,$777.66 
7162,0,$387.91 
7163,22,$603.58 
7164,70,$714.08 
7165,25,$515.67 
7166,50,$278.64 
7167,80,$226.35 
7168,71,$713.22 
7169,26,$662.23 
7170,32,$751.24 
7171,5,$174.68 
7172,14,$158.88 
7173,40,$416.80 
7174,85,$406.44 
7175,72,$533.41 
7176,19,$30.12 
7177,11,$77.19 
7178,19,$815.40 
7179,34,$753.16 
7180,91,$743.52 
7181,0,$258.70 
7182,98,$210.94 
7183,38,$914.71 
7184,47,$587.41 
7185,10,$344.29 
7186,69,$604.81 
7187,37,$817.00 
7188,16,$309.19 
7189,60,$21.83 
7190,40,$154.26 
7191,86,$631.81 
7192,96,$763.60 
7193,76,$171.58 
7194,45,$9.38 
7195,32,$662.27 
7196,93,$916.86 
7197,18,$270.23 
7198,84,$586.81 
7199,35,$170.80 
7200,32,$719.50 
7201,72,$22.18 
7202,9,$630.66 
7203,27,$195.15 
7204,7,$129.45 
7205,95,$746.21 
7206,28,$829.84 
7207,71,$483.52 
7208,67,$612.00 
7209,43,$882.45 
7210,50,$976.76 
7211,69,$870.76 
7212,8,$643.38 
7213,10,$516.07 
7214,21,$539.93 
7215,31,$328.48 
7216,45,$552.97 
7217,45,$420.27 
7218,51,$21.65 
7219,55,$47.07 
7220,13,$236.15 
7221,8,$408.84 
7222,96,$531.69 
7223,9,$81.20 
7224,24,$338.06 
7225,72,$779.19 
7226,14,$67.29 
7227,27,$70.24 
7228,99,$956.78 
7229,71,$406.08 
7230,72,$992.28 
7231,99,$857.98 
7232,8,$546.96 
7233,24,$991.42 
7234,94,$182.11 
7235,7,$496.40 
7236,76,$414.04 
7237,18,$277.47 
7238,82,$591.49 
7239,89,$469.40 
7240,72,$246.42 
7241,37,$344.65 
7242,10,$270.19 
7243,79,$868.97 
7244,49,$697.49 
7245,35,$368.83 
7246,36,$104.31 
7247,19,$993.26 
7248,72,$319.98 
7249,36,$744.98 
7250,38,$982.49 
7251,16,$757.83 
7252,58,$807.56 
7253,9,$840.43 
7254,82,$574.12 
7255,54,$744.46 
7256,96,$775.67 
7257,56,$664.23 
7258,40,$802.48 
7259,36,$14.72 
7260,0,$437.18 
7261,57,$536.37 
7262,0,$22.97 
7263,3,$339.54 
7264,84,$245.24 
7265,7,$16.60 
7266,69,$822.51 
7267,65,$793.77 
7268,21,$64.63 
7269,90,$508.57 
7270,66,$149.40 
7271,39,$379.22 
7272,19,$910.37 
7273,33,$470.83
7274,16,$248.09 
7275,65,$659.70 
7276,46,$586.89 
7277,12,$409.87 
7278,91,$409.16 
7279,87,$619.18 
7280,42,$440.28 
7281,27,$124.93 
7282,45,$389.53 
7283,99,$146.93 
7284,12,$126.41 
7285,76,$562.87 
7286,99,$748.22 
7287,69,$721.31 
7288,10,$575.97 
7289,98,$230.57 
7290,35,$119.69 
7291,78,$623.06 
7292,91,$853.71 
7293,44,$458.27 
7294,66,$654.22 
7295,16,$445.91 
7296,57,$886.22 
7297,80,$211.38 
7298,19,$689.04 
7299,47,$744.09 
7300,36,$245.67 
7301,16,$761.02 
7302,80,$664.67 
7303,33,$498.54
7304,49,$493.34 
7305,39,$983.26 
7306,88,$695.10 
7307,62,$991.09 
7308,69,$948.46 
7309,28,$136.63 
7310,50,$191.91 
7311,15,$377.28 
7312,85,$996.59 
7313,27,$677.80 
7314,60,$31.54 
7315,71,$9.50 
7316,84,$759.19 
7317,39,$192.72 
7318,45,$261.75 
7319,52,$367.17 
7320,11,$714.71 
7321,8,$708.45 
7322,46,$454.97 
7323,4,$229.04 
7324,37,$197.90 
7325,42,$798.45 
7326,67,$350.56 
7327,76,$495.27 
7328,89,$820.51 
7329,55,$118.50 
7330,69,$925.24 
7331,78,$426.07 
7332,78,$795.41 
7333,6,$213.80 
7334,27,$898.66 
7335,29,$387.79 
7336,15,$491.09 
7337,12,$100.11 
7338,44,$68.19 
7339,35,$283.67 
7340,58,$664.47 
7341,53,$294.08 
7342,54,$879.21 
7343,28,$954.52 
7344,30,$587.44 
7345,71,$35.43 
7346,86,$85.06 
7347,45,$44.99 
7348,37,$812.95 
7349,97,$798.12 
7350,31,$695.90 
7351,95,$243.13 
7352,16,$418.99 
7353,65,$692.74 
7354,7,$386.77 
7355,50,$475.53 
7356,49,$490.34 
7357,84,$579.95 
7358,59,$64.37 
7359,76,$563.93 
7360,90,$64.40 
7361,35,$751.03 
7362,63,$266.55 
7363,84,$836.22 
7364,81,$967.72 
7365,63,$896.92 
7366,26,$530.12 
7367,32,$426.71 
7368,53,$932.17 
7369,17,$838.07 
7370,53,$462.63 
7371,17,$677.07 
7372,91,$329.22 
7373,46,$632.22 
7374,98,$261.40 
7375,31,$947.87 
7376,34,$523.26 
7377,57,$449.31 
7378,75,$780.27 
7379,65,$217.70 
7380,95,$18.10 
7381,24,$448.79 
7382,30,$491.75 
7383,40,$423.19 
7384,80,$493.50 
7385,23,$725.80 
7386,80,$534.99 
7387,49,$753.72 
7388,7,$763.98 
7389,25,$876.21 
7390,90,$580.10 
7391,58,$725.85 
7392,14,$383.28 
7393,31,$101.83 
7394,58,$798.76 
7395,79,$789.36 
7396,76,$106.59 
7397,12,$277.55 
7398,39,$504.70 
7399,99,$33.70 
7400,96,$984.33 
7401,76,$7.24 
7402,17,$729.04 
7403,87,$676.94 
7404,32,$536.12 
7405,1,$875.57 
7406,78,$167.38 
7407,43,$516.38 
7408,27,$187.12 
7409,30,$50.44 
7410,79,$294.20 
7411,42,$227.35 
7412,76,$613.57 
7413,38,$301.02 
7414,16,$769.99 
7415,4,$543.88 
7416,69,$498.85 
7417,71,$565.52 
7418,29,$241.39 
7419,87,$659.07 
7420,54,$371.09 
7421,67,$319.37 
7422,53,$270.35 
7423,71,$272.02 
7424,24,$766.19 
7425,80,$632.22 
7426,86,$587.65 
7427,45,$26.56 
7428,29,$479.93 
7429,85,$870.75 
7430,67,$941.89 
7431,8,$624.66 
7432,68,$991.40 
7433,17,$190.25 
7434,89,$4.84 
7435,14,$738.57 
7436,66,$494.19 
7437,48,$450.51 
7438,94,$253.84 
7439,4,$237.84 
7440,50,$19.43 
7441,47,$185.72 
7442,98,$949.35 
7443,36,$309.35 
7444,79,$438.97 
7445,65,$519.07 
7446,46,$220.57 
7447,91,$628.82 
7448,22,$128.01 
7449,2,$672.83 
7450,6,$977.61 
7451,47,$137.30 
7452,2,$638.78 
7453,3,$337.79 
7454,93,$399.24 
7455,17,$630.57 
7456,20,$94.31 
7457,93,$74.43 
7458,68,$7.28 
7459,74,$299.82 
7460,91,$495.04 
7461,13,$6.37 
7462,14,$459.13 
7463,25,$174.08 
7464,16,$686.86 
7465,23,$437.92 
7466,42,$660.07 
7467,44,$677.99 
7468,8,$931.28 
7469,97,$952.21 
7470,37,$534.88 
7471,18,$712.46 
7472,17,$847.61 
7473,76,$588.06 
7474,16,$322.24 
7475,26,$667.80 
7476,9,$959.27 
7477,7,$263.20 
7478,50,$547.74 
7479,64,$454.82 
7480,38,$357.84 
7481,68,$544.26 
7482,70,$736.04 
7483,7,$951.07 
7484,60,$526.23 
7485,24,$341.56 
7486,94,$2.50 
7487,92,$666.11 
7488,60,$515.86 
7489,15,$927.29 
7490,17,$341.88 
7491,95,$557.61 
7492,27,$72.44 
7493,29,$661.36 
7494,74,$359.37 
7495,80,$909.15 
7496,94,$850.54 
7497,59,$996.72 
7498,28,$773.09 
7499,27,$621.71 
7500,90,$435.65 
7501,37,$753.15 
7502,57,$797.59 
7503,88,$231.40 
7504,81,$414.89 
7505,98,$258.68 
7506,88,$119.38 
7507,21,$627.73 
7508,75,$224.44 
7509,84,$93.28 
7510,93,$515.31 
7511,23,$665.60 
7512,8,$411.91 
7513,39,$845.43 
7514,41,$130.41 
7515,93,$454.72 
7516,85,$325.90 
7517,9,$505.99 
7518,30,$368.07 
7519,91,$526.20 
7520,47,$19.41 
7521,27,$236.51 
7522,96,$965.59 
7523,75,$447.13 
7524,34,$314.52 
7525,44,$761.33 
7526,94,$988.40 
7527,14,$548.31 
7528,2,$2.90 
7529,11,$72.11 
7530,39,$766.50 
7531,33,$452.94
7532,91,$857.66 
7533,47,$699.51 
7534,64,$666.65 
7535,32,$506.65 
7536,23,$865.42 
7537,34,$218.65 
7538,54,$620.66 
7539,66,$132.98 
7540,89,$170.31 
7541,0,$819.11 
7542,88,$171.19 
7543,45,$650.45 
7544,92,$120.04 
7545,46,$282.69 
7546,52,$923.13 
7547,40,$638.29 
7548,72,$175.36 
7549,36,$206.21 
7550,19,$125.44 
7551,37,$766.40 
7552,56,$216.96 
7553,17,$31.37 
7554,52,$120.20 
7555,23,$321.88 
7556,93,$918.21 
7557,67,$941.30 
7558,20,$892.39 
7559,48,$423.35 
7560,26,$808.19 
7561,84,$127.04 
7562,53,$102.32 
7563,17,$560.43 
7564,87,$280.08 
7565,25,$218.03 
7566,34,$468.28 
7567,92,$723.75 
7568,11,$738.19 
7569,36,$261.03 
7570,63,$923.98 
7571,27,$531.31 
7572,47,$425.32 
7573,39,$869.89 
7574,41,$344.38 
7575,78,$530.63 
7576,3,$393.93 
7577,63,$734.30 
7578,34,$982.74 
7579,67,$349.18 
7580,85,$548.79 
7581,54,$265.60 
7582,85,$861.20 
7583,9,$466.81 
7584,92,$618.74 
7585,79,$178.63 
7586,76,$653.64 
7587,65,$45.88 
7588,28,$78.63 
7589,24,$770.45 
7590,13,$420.24 
7591,92,$657.63 
7592,5,$827.29 
7593,44,$209.70 
7594,20,$64.90 
7595,75,$239.80 
7596,50,$26.22 
7597,20,$778.39 
7598,52,$34.74 
7599,1,$858.33 
7600,51,$935.15 
7601,73,$745.99 
7602,23,$348.05 
7603,33,$494.67
7604,36,$793.27 
7605,55,$620.74 
7606,57,$387.28 
7607,30,$800.34 
7608,9,$712.34 
7609,48,$842.51 
7610,33,$473.55
7611,30,$256.98 
7612,77,$729.83 
7613,31,$487.29 
7614,20,$808.28 
7615,29,$66.69 
7616,2,$329.08 
7617,72,$661.89 
7618,87,$198.84 
7619,88,$749.57 
7620,12,$150.87 
7621,93,$346.47 
7622,89,$627.18 
7623,17,$117.56 
7624,46,$856.36 
7625,21,$777.92 
7626,67,$402.96 
7627,77,$105.94 
7628,63,$867.59 
7629,81,$918.01 
7630,81,$931.00 
7631,28,$54.65 
7632,13,$892.64 
7633,56,$461.64 
7634,54,$157.32 
7635,9,$763.08 
7636,92,$490.08 
7637,51,$555.11 
7638,20,$455.56 
7639,6,$62.26 
7640,91,$639.57 
7641,44,$297.98 
7642,21,$956.45 
7643,14,$222.49 
7644,75,$261.71 
7645,63,$444.38 
7646,89,$460.40 
7647,91,$689.42 
7648,64,$311.86 
7649,35,$719.70 
7650,19,$34.85 
7651,30,$619.98 
7652,6,$112.08 
7653,67,$870.09 
7654,23,$655.83 
7655,48,$782.90 
7656,73,$701.37 
7657,50,$498.58 
7658,3,$95.21 
7659,18,$697.35 
7660,97,$25.52 
7661,74,$994.22 
7662,27,$787.90 
7663,40,$385.78 
7664,71,$780.02 
7665,48,$614.82 
7666,50,$284.29 
7667,51,$696.69 
7668,86,$834.54 
7669,49,$111.24 
7670,56,$448.70 
7671,80,$836.97 
7672,34,$853.73 
7673,49,$486.97 
7674,86,$657.73 
7675,79,$823.98 
7676,74,$878.99 
7677,27,$720.09 
7678,16,$899.38 
7679,99,$550.32 
7680,43,$616.47 
7681,77,$71.30 
7682,63,$394.65 
7683,12,$461.96 
7684,70,$399.45 
7685,21,$586.83 
7686,98,$743.88 
7687,7,$703.13 
7688,27,$327.55 
7689,38,$572.18 
7690,45,$330.86 
7691,23,$699.35 
7692,63,$838.97 
7693,35,$857.26 
7694,50,$483.91 
7695,58,$587.82 
7696,96,$217.08 
7697,28,$853.22 
7698,13,$423.21 
7699,40,$520.41 
7700,74,$193.03 
7701,90,$803.47 
7702,94,$684.20 
7703,3,$719.36 
7704,27,$134.99 
7705,61,$816.96 
7706,70,$356.43 
7707,68,$269.63 
7708,60,$152.59 
7709,82,$820.74 
7710,0,$327.60 
7711,83,$755.62 
7712,86,$247.17 
7713,0,$529.18 
7714,49,$290.19 
7715,4,$412.03 
7716,3,$681.30 
7717,69,$317.00 
7718,61,$869.08 
7719,97,$232.74 
7720,36,$59.41 
7721,45,$0.17 
7722,75,$934.71 
7723,18,$688.25 
7724,18,$407.38 
7725,74,$426.54 
7726,6,$811.53 
7727,19,$304.25 
7728,91,$363.59 
7729,45,$871.65 
7730,72,$446.37 
7731,71,$311.62 
7732,17,$163.68 
7733,74,$944.66 
7734,30,$190.91 
7735,82,$293.40 
7736,16,$939.72 
7737,59,$62.14 
7738,74,$325.06 
7739,47,$7.25 
7740,8,$570.60 
7741,40,$329.74 
7742,68,$61.31 
7743,88,$876.77 
7744,50,$421.31 
7745,32,$257.07 
7746,91,$164.18 
7747,28,$256.94 
7748,46,$251.88 
7749,81,$523.60 
7750,17,$685.03 
7751,89,$925.27 
7752,55,$111.06 
7753,27,$286.89 
7754,2,$497.93 
7755,86,$569.77 
7756,38,$124.93 
7757,93,$857.32 
7758,41,$741.78 
7759,69,$327.51 
7760,37,$519.81 
7761,38,$705.67 
7762,95,$758.03 
7763,72,$456.85 
7764,6,$771.28 
7765,44,$226.55 
7766,47,$572.48 
7767,33,$466.51
7768,70,$362.53 
7769,46,$853.24 
7770,88,$280.80 
7771,11,$86.53 
7772,21,$279.05 
7773,9,$57.86 
7774,19,$99.01 
7775,51,$151.07 
7776,95,$719.42 
7777,74,$793.47 
7778,3,$868.95 
7779,13,$610.77 
7780,96,$989.83 
7781,80,$723.13 
7782,69,$281.78 
7783,69,$960.68 
7784,3,$329.23 
7785,30,$742.44 
7786,42,$538.67 
7787,45,$874.57 
7788,29,$243.61 
7789,83,$554.86 
7790,10,$112.76 
7791,91,$306.53 
7792,63,$802.27 
7793,75,$439.85 
7794,90,$142.07 
7795,66,$480.56 
7796,72,$969.44 
7797,2,$954.83 
7798,99,$155.94 
7799,49,$930.02 
7800,51,$216.96 
7801,94,$593.72 
7802,79,$836.70 
7803,96,$877.63 
7804,37,$723.55 
7805,67,$817.64 
7806,25,$450.57 
7807,74,$368.68 
7808,22,$353.85 
7809,6,$347.05 
7810,55,$816.94 
7811,93,$530.45 
7812,21,$928.38 
7813,54,$473.88 
7814,28,$662.52 
7815,66,$212.19 
7816,13,$110.35 
7817,27,$141.28 
